1/12/2021,5488697,3835859,0
1/13/2021,6025872,4249795,0
1/15/2021,7153268,5122662,0
1/19/2021,8874811,6828561,0
1/20/2021,9281063,7239750,0
1/21/2021,9817027,7724683,0
1/22/2021,10695066,8407909,0
1/23/2021,11471457,9061112,0
1/24/2021,12153536,9689497,0
1/25/2021,12551999,10084432,0
1/26/2021,13009981,10431466,0
1/27/2021,13550835,11001991,0
1/28/2021,14355980,11737592,0
1/29/2021,15164858,12619210,0
1/30/2021,15977015,13499942,0
1/31/2021,16775916,14246089,0
2/1/2021,17364398,14756609,0
2/2/2021,17672866,15006565,0
2/3/2021,18209204,15567188,0
2/4/2021,18841309,16260102,0
2/5/2021,19582865,17133644,0
2/6/2021,20598212,18336515,0
2/7/2021,21622193,19485089,0
2/8/2021,22247484,20066305,0
2/9/2021,22685406,20416765,0
2/10/2021,23475749,21189540,0
2/11/2021,24246868,22038088,0
2/12/2021,25192628,23111715,0
2/13/2021,26237417,24297615,0
2/14/2021,27271797,25505313,0
2/16/2021,28374410,26738383,0
2/17/2021,28886690,27287041,0
2/18/2021,29585627,28043413,0
2/19/2021,30431247,29044336,0
2/20/2021,31270062,29909492,0
2/21/2021,32232422,30747615,0
2/22/2021,32853883,31212925,0
2/23/2021,33352170,31569021,0
2/24/2021,34159027,32194245,0
2/25/2021,35095003,33066503,0
2/26/2021,36159403,34181226,0
2/27/2021,37269195,35422721,0
2/28/2021,38426567,36694414,0
3/1/2021,39262524,37522293,0
3/2/2021,40196532,38319678,0
3/3/2021,41175807,39248180,0
3/4/2021,42193285,40261524,0
3/5/2021,43373717,41507728,0
3/6/2021,44774584,42977312,0
3/7/2021,45932122,44195607,0
3/8/2021,46824290,44936695,208590
3/9/2021,47628226,45635740,308181
3/10/2021,48605159,46535646,458911
3/11/2021,49708920,47733656,638469
3/12/2021,50960400,49169578,873726
3/13/2021,53096054,51292130,1189207
3/14/2021,53708091,51951820,1273958
3/15/2021,54643581,52883263,1428465
3/16/2021,55393141,53647312,1569675
3/17/2021,56499018,54643195,1766131
3/18/2021,57876875,55811286,1911052
3/19/2021,59214724,56941640,2025349
3/20/2021,60849627,58294583,2163681
3/21/2021,62529418,59518840,2298614
3/22/2021,63693721,60275003,2406337
3/23/2021,64679659,60913292,2489153
3/24/2021,65995871,61719260,2622182
3/25/2021,67555076,62877755,2734367
3/26/2021,69368232,64313721,2863246
3/27/2021,71246219,65811340,2982453
3/28/2021,72981111,67249447,3090712
3/29/2021,74338025,68177850,3155418
3/30/2021,75386890,68858013,3215657
3/31/2021,76891912,69930956,3307113
4/1/2021,78717917,71338865,3429880
4/2/2021,80845236,72997571,3617377
4/3/2021,82986550,74713387,3840647
4/4/2021,84810406,76038933,4054089
4/5/2021,86041963,76791212,4204015
4/6/2021,86855993,77285350,4299901
4/7/2021,88463874,78315776,4544552
4/8/2021,90256586,79551820,4917225
4/9/2021,92355733,80944104,5382365
4/10/2021,94715143,82622178,5972101
4/11/2021,96586783,83847244,6453740
4/12/2021,97978125,84694388,6859877
4/13/2021,99453295,85435687,7233726
4/14/2021,100891617,86221076,7517671
4/15/2021,102877491,87539652,7736781
4/16/2021,105070417,89199649,7848027
4/17/2021,107083884,90718986,7902746
4/18/2021,109122092,92181455,7935549
4/19/2021,110461905,93002433,7949021
4/20/2021,111585824,93672874,7961251
4/21/2021,113104771,94684047,7993255
4/22/2021,114844028,95913701,8018365
4/23/2021,116754631,97353734,8040727
4/24/2021,118628496,98778973,8058239
4/25/2021,120373717,100031926,8079863
4/26/2021,121674501,100830533,8087269
4/27/2021,122669679,101463903,8097650
4/28/2021,123980028,102356935,8124392
4/29/2021,125540172,103474188,8166410
4/30/2021,127133399,104613893,8231139
5/1/2021,129013657,105947940,8318546
5/2/2021,130252779,106780082,8374395
5/3/2021,131030537,107155797,8409505
5/4/2021,131657484,107477821,8449067
5/5/2021,132721153,108142826,8516437
5/6/2021,134116885,109041458,8627243
5/7/2021,135725061,110124671,8739657
5/8/2021,137216849,111094349,8844369
5/9/2021,138657097,111933191,8933802
5/10/2021,139838655,112529278,9038423
5/11/2021,140760689,112990115,9188411
5/12/2021,141636737,113582961,9266062
5/13/2021,142692755,114354242,9352742
5/14/2021,143680891,115127784,9431604
5/15/2021,145007116,116066454,9558399
5/16/2021,146288690,116798390,9637126
5/17/2021,147265442,117247242,9697720
5/18/2021,147961277,117620781,9751200
5/19/2021,149068615,118181211,9836616
5/20/2021,150342238,118904886,9944636
5/21/2021,151668003,119668669,10051548
5/22/2021,153075845,120493252,10163242
5/23/2021,154119424,121125577,10265423
5/24/2021,154856445,121500687,10323402
5/25/2021,155394989,121801185,10381859
5/26/2021,156197160,122339269,10463078
5/27/2021,157023465,122947136,10539494
5/28/2021,157783315,123479196,10621136
5/29/2021,158708623,124067556,10710816
5/30/2021,159412031,124520914,10776617
6/1/2021,160309262,125016707,10858664
6/2/2021,160601395,125201557,10889478
6/3/2021,161050513,125508313,10939901
6/4/2021,161890897,125990795,11014773
6/5/2021,162606119,126359399,11077735
6/6/2021,163512789,126756059,11143068
6/7/2021,164371746,127058512,11194685
6/8/2021,165140239,127310797,11245388
6/9/2021,165715523,127513151,11296014
6/10/2021,166351326,127759347,11346781
6/11/2021,166905188,127990366,11383522
6/12/2021,167978845,128444425,11457011
6/13/2021,168784549,128785935,11517956
6/14/2021,169612045,129191765,11606202
6/15/2021,170482950,129501089,11666437
6/16/2021,171175575,129788011,11714877
6/17/2021,172556760,130359975,11812739
6/18/2021,173280164,130656013,11871036
